FECHA INGRESO;N° EXP;EMPRESA;MINISTERIO;DECRETO
27/11/2020;84933;SERVIDUCTO S.R.L.;MEF;DEC 268
27/11/2020;84949;DIEGO ELGORA DE CRECENCIO;MEF;DEC 268
14/12/2020;85038;GBU (Grupo Bursatil Uruguayo) Sociedad de Bolsa S.A.;MEF;DEC 268
18/12/2020;85096;SERGIO SENCION SANCHEZ;MEF;DEC 268
18/12/2020;85106;LA ESPAÑOLA S.R.L.;MEF;DEC 268
28/12/2020;85276;MARCOS LORENZELLI S.R.L.;MIEM;DEC 268
23/01/2021;85465;ERSA LOS TRES S.R.L.;MEF;DEC 268
25/01/2021;85471;ANGERAL S.R.L.;MEF;DEC 268
27/01/2021;85505;LUIS MARZAROLI ;MEF;DEC 268
29/01/2021;85532;BRUNNO MIGUEL FAGUNDEZ SARACHEAGA;MEF;DEC 268
29/01/2021;85533;GRUPO GAMMA S.R.L.;MEF;DEC 268
29/01/2021;85534;CONVI S.A.;MEF;DEC 268
29/01/2021;85536;CONTROL MONITOR SYSTEMS S.A;MEF;DEC 268
25/02/2021;85650;GUERISOLI FONTOURA LUIS EDGARDO Y SILVA GUERISOLI EDGAR ANTONIO ;MIEM;DEC 268
23/03/2021;85803;TABARE AGUERRE LOMBARDO;MGAP;DEC 268
23/03/2021;85804;VELSO S.A.;MEF;DEC 268
23/03/2021;85805;PIVETTA HNOS S.R.L.;MIEM;DEC 268
24/03/2021;85813;ORTIZ SCHNEIDER ESTEBAN RAUL;MEF;DEC 268
24/03/2021;85814;LUCERO NATIVO S.A.;MIEM;DEC 268
25/03/2021;85899;ESCARDO DELL ACQUA FEDERICO MARCELO;MEF;DEC 268
25/03/2021;85901;LUCHO AGUIRREGARAY CARLOS NELSON NUCLEO FAMILIAR;MGAP;DEC 268
26/03/2021;85952;VIDAPORT S.A.;MEF;DEC 268
26/03/2021;86005;COUTINHO MONES RODRIGO Y BRUNO GAMBOA ROSANA PAOLA;MEF;DEC 268
30/03/2021;86153;PRENORTE S.R.L.;MEF;DEC 268
30/03/2021;86206;IMPORTECH S.A.;MIEM;DEC 268
30/03/2021;86230;DOCTOS SRL;MEF;DEC 268
31/03/2021;86245;PRADELAR S.A.;MGAP;DEC 268
31/03/2021;86264;JIMENEZ FELICE RODRIGO;MIEM;DEC 268
05/05/2021;86478;LOBAR LTDA.;MEF;DEC 268
24/06/2021;86571;PINCZAK DE LA PEÑA KAROL ERIC;MGAP;DEC 268
28/06/2021;86598;SANATORIO MEDICO VILLA CARMEN LTDA;MEF;DEC 268
29/06/2021;86640;34 GRADOS SRL;MEF;DEC 268
29/06/2021;86641;VINOFI S.R.L.;MIEM;DEC 268
29/07/2021;86787;IFOREL S.A.;MEF;DEC 268
07/09/2021;86909;RUACOR S.A.;MEF;DEC 268
17/11/2021;87186;PEDRERA DEL NORTE S.R.L.;MIEM;DEC 268
17/11/2021;87187;ELECTRICIDAD DURAZNO S.R.L.;MEF;DEC 268
22/11/2021;87199;GANADERA DEL NORTE S.R.L.;MEF;DEC 268
06/12/2021;87283;LAS ACACIAS S.R.L.;MGAP;DEC 268
21/12/2021;87344;QUIMON S.R.L.;MIEM;DEC 268
21/12/2021;87345;PEDREIRA ALJAS MATIAS DIDIER;MEF;DEC 268
30/12/2021;87604;TECTUY CONSTRUCCIONES S.R.L.;MEF;DEC 268
05/01/2022;87649;DELUCCHI BORRELLI ANDREA, DELUCCHI BORRELLI LOYVA BEATRIZ Y OTROS;MGAP;DEC 268
27/01/2022;87666;MARTINEZ SORIA AVELINO JOSE;MIEM;DEC 268
27/05/2022;87962;THOMPSON LTDA;MIEM;DEC 268
29/06/2022;88235;ZUBIAURRE TRIAS FEDERICO;MGAP;DEC 268
29/06/2022;88236;BODERIL SA;MGAP;DEC 268
31/10/2022;88819;LAREDMOVIL S.A.;MEF;DEC 268
17/11/2022;88863;GABANEL S.A.;MEF;DEC 268
30/11/2022;88933;BENVALU S.A.S.;MEF;DEC 268
30/11/2022;85106-A1;LA ESPAÑOLA S.R.L.;MEF;DEC 268
30/11/2022;85471-A1;ANGERAL S.R.L.;MEF;DEC 268
14/12/2022;89070;LA ESPAÑOLA S.R.L.;MEF;DEC 268
29/06/2022;88313;LENATUR S.R.L.;MGAP;DEC 268
15/12/2022;89102;VINOFI S.R.L.;MIEM;DEC 268
15/12/2022;89103;GUERISOLI FONTOURA LUIS EDGARDO Y SILVA GUERISOLI EDGAR ANTONIO ;MIEM;DEC 268
15/12/2022;89144;INTEGRACION AFAP S.A.;MEF;DEC 268
16/12/2022;89152;PAPELERIA FOLDER S.R.L.;MEF;DEC 268
